Table Name,Column Name,Data Type,Nullable,Length,Precision,Scale,Default,Comments
"OP_CHILDREN_T_TEMP","PCH_OPER_CODE","CHAR","Y","5",,,,
"OP_CHILDREN_T_TEMP","PCH_PET_DATE","CHAR","Y","8",,,,
"OP_CHILDREN_T_TEMP","PCH_PAY","NUMBER","Y","22","4","0",,
"OP_CHILDREN_T_TEMP","PCH_IDCARD","VARCHAR2","Y","13",,,,
"OP_HEAD_T","PHT_CODE","VARCHAR2","Y","5",,,,
"OP_HEAD_T","PHT_NAME_T","VARCHAR2","Y","255",,,,
"OP_HEAD_T","PHT_NAME_E","VARCHAR2","Y","255",,,,
"OP_HEAD_T","PHT_EMP_DATE","VARCHAR2","Y","8",,,,
"OP_HEAD_T","PHT_POS_WK","VARCHAR2","Y","3",,,,
"OP_HEAD_T","PHT_POS_EX","VARCHAR2","Y","2",,,,
"OP_HEAD_T","PHT_POS_NO","VARCHAR2","Y","4",,,,
"OP_HEAD_T","PHT_LEVEL_CODE","VARCHAR2","Y","2",,,,
"OP_HEAD_T_TEMP","PHT_CODE","VARCHAR2","Y","5",,,,
"OP_HEAD_T_TEMP","PHT_NAME_T","VARCHAR2","Y","255",,,,
"OP_HEAD_T_TEMP","PHT_NAME_E","VARCHAR2","Y","255",,,,
"OP_HEAD_T_TEMP","PHT_EMP_DATE","VARCHAR2","Y","8",,,,
"OP_HEAD_T_TEMP","PHT_POS_WK","VARCHAR2","Y","3",,,,
"OP_HEAD_T_TEMP","PHT_POS_EX","VARCHAR2","Y","2",,,,
"OP_HEAD_T_TEMP","PHT_POS_NO","VARCHAR2","Y","4",,,,
"OP_HEAD_T_TEMP","PHT_LEVEL_CODE","VARCHAR2","Y","2",,,,
"OP_LEVEL_SAL_R","PLV_CODE","NUMBER","Y","22",,"0",,
"OP_LEVEL_SAL_R","PLV_SALARY","NUMBER","Y","22",,"0",,
"OP_LEVEL_SAL_R_TEMP","PLV_CODE","NUMBER","Y","22",,"0",,
"OP_LEVEL_SAL_R_TEMP","PLV_SALARY","NUMBER","Y","22",,"0",,
"OP_MASTER_T","PMT_CODE","CHAR","Y","5",,,,
"OP_MASTER_T","PMT_NAME_T","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_NAME_E","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_EMP_DATE","CHAR","Y","8",,,,
"OP_MASTER_T","PMT_CMD_DATE","CHAR","Y","8",,,,
"OP_MASTER_T","PMT_ST_QUAL","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_ST_FAC","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_POS_WK","CHAR","Y","20",,,,
"OP_MASTER_T","PMT_POS_EX","CHAR","Y","20",,,,
"OP_MASTER_T","PMT_POS_NO","CHAR","Y","20",,,,
"OP_MASTER_T","PMT_LEVEL_CODE","CHAR","Y","20",,,,
"OP_MASTER_T","PMT_LEV_DATE","CHAR","Y","255",,,,
"OP_MASTER_T","PMT_CUR_QUAL","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_CUR_FAC","VARCHAR2","Y","255",,,,
"OP_MASTER_T","PMT_SAL_CODE","CHAR","Y","3",,,,
"OP_MASTER_T","PMT_STATUS","CHAR","Y","1",,,,
"OP_MASTER_T","PMT_PENALTY_FLAG","CHAR","Y","1",,,,
"OP_MASTER_T","PMT_TRANS_DATE","CHAR","Y","255",,,,
"OP_MASTER_T","PMT_OPER_CODE","CHAR","Y","255",,,,
"OP_MASTER_T","PMT_FLAG_MEM","VARCHAR2","Y","1",,,,
"OP_MASTER_T","PMT_GWORK_CODE","VARCHAR2","Y","3",,,,
"OP_MASTER_T","PMT_EMAIL_ADDR","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_CODE","CHAR","Y","5",,,,
"OP_MASTER_T_TEMP","PMT_NAME_T","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_NAME_E","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_EMP_DATE","CHAR","Y","8",,,,
"OP_MASTER_T_TEMP","PMT_CMD_DATE","CHAR","Y","8",,,,
"OP_MASTER_T_TEMP","PMT_ST_QUAL","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_ST_FAC","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_POS_WK","CHAR","Y","20",,,,
"OP_MASTER_T_TEMP","PMT_POS_EX","CHAR","Y","20",,,,
"OP_MASTER_T_TEMP","PMT_POS_NO","CHAR","Y","20",,,,
"OP_MASTER_T_TEMP","PMT_LEVEL_CODE","CHAR","Y","20",,,,
"OP_MASTER_T_TEMP","PMT_LEV_DATE","CHAR","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_CUR_QUAL","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_CUR_FAC","VARCHAR2","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_SAL_CODE","CHAR","Y","3",,,,
"OP_MASTER_T_TEMP","PMT_STATUS","CHAR","Y","1",,,,
"OP_MASTER_T_TEMP","PMT_PENALTY_FLAG","CHAR","Y","1",,,,
"OP_MASTER_T_TEMP","PMT_TRANS_DATE","CHAR","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_OPER_CODE","CHAR","Y","255",,,,
"OP_MASTER_T_TEMP","PMT_FLAG_MEM","VARCHAR2","Y","1",,,,
"OP_MASTER_T_TEMP","PMT_GWORK_CODE","VARCHAR2","Y","3",,,,
"OP_MASTER_T_TEMP","PMT_EMAIL_ADDR","VARCHAR2","Y","255",,,,
"OP_ORGANIZE_R","POG_CODE","VARCHAR2","Y","6",,,,
"OP_ORGANIZE_R","POG_DESC","VARCHAR2","Y","255",,,,
"OP_ORGANIZE_R","POG_CURRENCY","VARCHAR2","Y","2",,,,
"OP_ORGANIZE_R","POG_ABBREVIATION","VARCHAR2","Y","255",,,,
"OP_ORGANIZE_R","POG_DESC_E","VARCHAR2","Y","255",,,,
"OP_ORGANIZE_R","POG_TITLE","VARCHAR2","Y","255",,,,
"OP_ORGANIZE_R","POG_TYPE","CHAR","Y","1",,,,
"OP_ORGANIZE_R","POG_POSNAME","VARCHAR2","Y","255",,,,
